Player Name,Ping,Kills,Assists,Deaths,MVP,HSP,Score
Jack[N]Jill^^,126,20,5,20,3,55,54
exit frag,51,19,3,20,2,15,46
sn0w,57,25,3,27,3,7,55
DaNooBro,70,21,3,21,3,28,53
p3ni5,231,22,5,22,3,36,50
reedkihaddi,55,18,2,24,2,31,40
Noobi3,46,9,4,23,3,33,33
Annu Mantra,37,28,6,16,8,35,67
k0nfig,57,26,5,23,2,61,57
Python,101,21,1,19,4,19,49
z1gma,46,17,1,19,2,23,44
Tit@niuM,45,13,3,21,0,61,33
abhi17,36,27,3,22,3,33,58
Attitude Billa,41,26,2,22,3,19,58
link1n,46,18,5,22,3,50,52
reedkihaddi,57,17,3,22,2,22,44
pEhnol,48,8,6,19,0,33,28
reedkihaddi,42,26,1,17,2,50,55
sn0w,31,17,1,19,3,17,41
Ra.M,32,13,2,18,2,38,33
DaNooBro,272,13,3,22,0,53,29
p3ni5,244,6,2,21,0,50,16
Juca_Stayl* | Aaru <3,5,26,4,14,4,38,60
[G]ame[O]ver,25,26,2,15,2,42,59
ZORO,30,18,3,19,5,26,51
[B]obby,26,14,5,12,5,57,49
Genji Takya,113,12,1,16,0,25,30
reedkihaddi,37,30,3,20,4,30,66
ProphetCSP,89,26,3,22,5,30,65
sn0w,16,26,6,19,0,38,63
b3nd3r,73,16,2,25,2,41,41
link1n,31,15,3,17,3,31,39
Buck_Shot,82,24,4,26,3,25,57
27aadesh,22,19,4,18,2,36,54
v9per-iwnl,37,22,2,23,4,13,50
Entei Saiyajin,34,19,3,23,2,57,46
disapointment,37,17,2,24,4,35,41
Kisama,49,23,5,15,3,21,64
reedkihaddi,50,22,4,20,5,31,53
sn0w,41,23,5,20,4,43,52
b3nd3r,73,19,3,22,2,42,43
link1n,46,13,4,22,2,7,34
A.V1YS,34,25,3,20,3,36,58
Shank,30,19,6,19,2,42,52
4єשєгภ๏๏๒,13,23,2,22,3,43,51
𝓥єηʘηYm,120,17,4,20,2,29,43
NARENDRACHODI,29,15,3,19,0,40,39
Professor |,64,27,3,22,2,51,64
not playing this shit anymore,50,21,5,21,4,23,53
uncleBONE,57,21,5,21,3,19,52
hacker,89,19,2,22,3,36,46
HEISENBERG737,56,18,4,20,2,50,44
Stupid Country!,55,41,5,20,7,21,93
link1n,37,20,0,18,2,35,45
reedkihaddi,44,17,5,22,4,29,41
M_On_Key,50,16,5,24,2,37,41
⇤NighT☬HawK⇥,48,12,3,22,0,50,31
sn0w,27,25,10,23,5,20,72
DaNooBro,248,28,5,19,5,39,63
Darktitan27,19,23,7,23,4,65,56
reedkihaddi,27,19,3,21,2,10,49
p3ni5,247,11,5,29,0,45,27
KazarianFhas,25,28,8,22,3,28,66
Seeker,56,27,2,16,5,37,64
ｷの尺乇丂ｲ,0,25,3,21,0,32,53
PuRpOsE  ***Rap***,54,21,2,25,5,33,46
Phad1Psych0,28,14,4,22,0,35,33
